新規求人数（新規学卒者を除きパートタイムを含む）【実数】,,,,,,,,,,,,,,,,,,,,,新規求人数（新規学卒者を除きパートタイムを含む）【季節調整値】,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
実　　　　　　　　　　　　　　　　　　　　　　　　　　　　　数,西暦,和暦,１月,２月,３月,４月,５月,６月,７月,８月,９月,10月,11月,12月,"1～3月
平均","4～6月
平均","7～9月
平均","10～12月
平均",年平均,年度平均,季　　　　　節　　　　　調　　　　　整　　　　　値,西暦,和暦,１月,２月,３月,４月,５月,６月,７月,８月,９月,10月,11月,12月,"1～3月
平均","4～6月
平均","7～9月
平均","10～12月
平均",
,95年,７年,"475,727 ","543,323 ","599,818 ","496,457 ","436,375 ","447,863 ","443,432 ","474,132 ","486,443 ","479,515 ","431,328 ","379,075 ","539,623 ","460,232 ","468,002 ","429,973 ","474,457 ","479,022 ",,95年,７年,"449,459 ","496,945 ","471,411 ","469,405 ","474,185 ","464,035 ","467,781 ","474,525 ","464,687 ","475,268 ","488,816 ","481,288 ","472,605 ","469,208 ","468,998 ","481,791 ",
,96年,８年,"505,221 ","553,301 ","615,127 ","559,078 ","505,759 ","474,633 ","544,769 ","528,996 ","554,932 ","588,005 ","509,371 ","431,611 ","557,883 ","513,157 ","542,899 ","509,662 ","530,900 ","548,230 ",,96年,８年,"468,432 ","497,585 ","506,911 ","512,997 ","528,470 ","529,729 ","536,871 ","535,645 ","551,568 ","556,146 ","551,692 ","558,354 ","490,976 ","523,732 ","541,361 ","555,397 ",
,97年,９年,"605,164 ","599,062 ","677,376 ","604,169 ","539,523 ","519,022 ","558,898 ","534,486 ","581,612 ","583,630 ","470,640 ","429,247 ","627,201 ","554,238 ","558,332 ","494,506 ","558,569 ","543,709 ",,97年,９年,"571,385 ","569,130 ","573,437 ","561,930 ","560,797 ","565,920 ","558,291 ","563,913 ","559,811 ","549,223 ","541,191 ","542,298 ","571,317 ","562,882 ","560,672 ","544,237 ",
,98年,10年,"549,676 ","534,785 ","618,824 ","528,726 ","443,814 ","461,587 ","482,535 ","466,743 ","488,880 ","508,678 ","433,925 ","387,059 ","567,762 ","478,042 ","479,386 ","443,221 ","492,103 ","483,857 ",,98年,10年,"517,488 ","506,734 ","495,245 ","492,679 ","498,018 ","485,378 ","475,441 ","498,343 ","472,829 ","464,598 ","487,787 ","480,535 ","506,489 ","492,025 ","482,204 ","477,640 ",
,99年,11年,"497,169 ","502,034 ","605,136 ","544,600 ","400,291 ","447,186 ","490,753 ","468,422 ","507,763 ","523,204 ","467,398 ","408,354 ","534,780 ","464,026 ","488,979 ","466,319 ","488,526 ","503,874 ",,99年,11年,"481,302 ","483,178 ","490,426 ","506,879 ","453,973 ","472,978 ","496,685 ","484,285 ","492,048 ","508,186 ","497,922 ","508,316 ","484,969 ","477,943 ","491,006 ","504,808 ",
,00年,12年,"555,258 ","569,108 ","664,150 ","574,327 ","519,587 ","565,857 ","575,034 ","607,375 ","635,950 ","658,316 ","587,320 ","518,851 ","596,172 ","553,257 ","606,120 ","588,162 ","585,928 ","604,455 ",,00年,12年,"535,617 ","528,372 ","538,001 ","555,144 ","564,639 ","585,988 ","605,865 ","610,257 ","615,264 ","624,621 ","637,409 ","634,688 ","533,997 ","568,590 ","610,462 ","632,239 ",
,01年,13年,"648,219 ","643,454 ","719,173 ","633,321 ","573,757 ","559,548 ","592,892 ","583,510 ","581,877 ","610,779 ","545,708 ","446,106 ","670,282 ","588,875 ","586,093 ","534,198 ","594,862 ","581,873 ",,01年,13年,"615,461 ","618,640 ","604,612 ","611,569 ","604,371 ","599,274 ","601,079 ","583,771 ","576,815 ","562,524 ","560,059 ","555,381 ","612,904 ","605,071 ","587,222 ","559,321 ",
,02年,14年,"592,705 ","597,159 ","665,116 ","622,618 ","573,586 ","542,573 ","620,261 ","589,527 ","616,389 ","675,867 ","583,834 ","502,145 ","618,327 ","579,592 ","608,726 ","587,282 ","598,482 ","614,287 ",,02年,14年,"562,867 ","574,291 ","584,478 ","587,126 ","600,442 ","597,383 ","595,328 ","606,017 ","610,380 ","615,006 ","608,816 ","619,766 ","573,879 ","594,984 ","603,908 ","614,529 ",
,03年,15年,"665,574 ","657,654 ","721,410 ","672,118 ","620,859 ","611,145 ","680,748 ","642,414 ","726,121 ","783,548 ","654,285 ","605,846 ","681,546 ","634,707 ","683,094 ","681,226 ","670,144 ","698,576 ",,03年,15年,"631,081 ","633,411 ","645,082 ","640,289 ","644,419 ","653,360 ","674,017 ","682,251 ","696,374 ","707,533 ","718,043 ","739,086 ","636,525 ","646,023 ","684,214 ","721,554 ",
,04年,16年,"773,540 ","742,918 ","869,369 ","774,089 ","655,155 ","738,865 ","752,203 ","729,308 ","810,472 ","832,228 ","795,452 ","668,331 ","795,276 ","722,703 ","763,994 ","765,337 ","761,828 ","780,267 ",,04年,16年,"727,646 ","708,340 ","728,859 ","742,912 ","742,782 ","756,655 ","758,830 ","762,017 ","775,746 ","796,232 ","824,611 ","803,400 ","721,615 ","747,450 ","765,531 ","808,081 ",
