新規求人数（新規学卒者及びパートタイムを除く）【実数】,,,,,,,,,,,,,,,,,,,,,新規求人数（新規学卒者及びパートタイムを除く）【季節調整値】,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
実　　　　　　　　　　　　　　　　　　　　　　　　　　　　　数,西暦,和暦,１月,２月,３月,４月,５月,６月,７月,８月,９月,10月,11月,12月,"1～3月
平均","4～6月
平均","7～9月
平均","10～12月
平均",年平均,年度平均,季　　　　　節　　　　　調　　　　　整　　　　　値,西暦,和暦,１月,２月,３月,４月,５月,６月,７月,８月,９月,10月,11月,12月,"1～3月
平均","4～6月
平均","7～9月
平均","10～12月
平均"
,01年,13年,"444,136 ","444,514 ","505,576 ","429,847 ","386,162 ","371,030 ","392,923 ","397,064 ","390,230 ","404,937 ","356,012 ","300,027 ","464,742 ","395,680 ","393,406 ","353,659 ","401,872 ","389,546 ",,01年,13年,"419,804 ","420,620 ","412,147 ","416,247 ","410,221 ","403,328 ","403,996 ","395,934 ","389,334 ","376,420 ","371,142 ","370,540 ","417,524 ","409,932 ","396,421 ","372,701 "
,02年,14年,"392,957 ","401,104 ","452,259 ","410,310 ","373,821 ","352,433 ","407,210 ","391,025 ","404,576 ","447,135 ","380,048 ","335,640 ","415,440 ","378,855 ","400,937 ","387,608 ","395,710 ","406,760 ",,02年,14年,"371,410 ","380,248 ","386,268 ","386,249 ","394,232 ","395,215 ","393,383 ","399,362 ","403,887 ","409,571 ","401,046 ","412,602 ","379,309 ","391,899 ","398,877 ","407,740 "
,03年,15年,"446,546 ","443,173 ","489,208 ","446,912 ","410,678 ","402,226 ","452,250 ","430,352 ","481,264 ","522,326 ","435,161 ","411,742 ","459,642 ","419,939 ","454,622 ","456,410 ","447,653 ","467,523 ",,03年,15年,"420,744 ","422,511 ","433,025 ","428,055 ","429,572 ","435,812 ","448,068 ","455,849 ","462,833 ","473,626 ","484,788 ","496,714 ","425,427 ","431,146 ","455,583 ","485,043 "
,04年,16年,"525,500 ","500,765 ","591,103 ","520,121 ","441,202 ","501,029 ","514,899 ","504,743 ","556,533 ","563,434 ","540,573 ","464,789 ","539,123 ","487,451 ","525,392 ","522,932 ","518,724 ","533,469 ",,04年,16年,"492,450 ","472,140 ","492,568 ","499,635 ","503,665 ","517,482 ","518,174 ","521,514 ","533,380 ","542,923 ","565,240 ","556,281 ","485,719 ","506,927 ","524,356 ","554,815 "
,05年,17年,"577,391 ","571,447 ","645,467 ","563,737 ","518,520 ","556,841 ","550,391 ","573,263 ","597,302 ","587,297 ","555,306 ","485,522 ","598,102 ","546,366 ","573,652 ","542,708 ","565,207 ","574,453 ",,05年,17年,"546,830 ","548,577 ","558,141 ","564,447 ","573,660 ","571,013 ","571,036 ","571,979 ","568,155 ","566,564 ","583,702 ","574,109 ","551,183 ","569,707 ","570,390 ","574,792 "
,06年,18年,"616,634 ","628,631 ","659,994 ","577,293 ","557,264 ","580,320 ","573,049 ","599,612 ","608,605 ","593,711 ","553,435 ","497,193 ","635,086 ","571,626 ","593,755 ","548,113 ","587,145 ","579,439 ",,06年,18年,"581,822 ","594,450 ","582,058 ","590,762 ","594,074 ","592,200 ","593,314 ","588,088 ","585,711 ","560,820 ","576,454 ","581,879 ","586,110 ","592,345 ","589,038 ","573,051 "
,07年,19年,"595,479 ","594,658 ","622,648 ","551,215 ","543,437 ","529,355 ","545,325 ","552,155 ","523,905 ","565,765 ","491,108 ","413,865 ","604,262 ","541,336 ","540,462 ","490,246 ","544,076 ","518,293 ",,07年,19年,"549,765 ","573,866 ","575,622 ","566,694 ","562,048 ","553,610 ","549,631 ","537,818 ","523,220 ","517,816 ","500,508 ","489,084 ","566,418 ","560,784 ","536,890 ","502,469 "
,08年,20年,"525,546 ","514,823 ","463,018 ","462,617 ","440,580 ","423,550 ","453,112 ","416,973 ","434,927 ","441,823 ","357,556 ","344,593 ","501,129 ","442,249 ","435,004 ","381,324 ","439,927 ","404,028 ",,08年,20年,"486,967 ","483,762 ","448,532 ","458,720 ","457,589 ","447,958 ","435,411 ","431,383 ","416,348 ","405,861 ","400,458 ","406,315 ","473,087 ","454,756 ","427,714 ","404,211 "
,09年,21年,"399,870 ","338,758 ","333,981 ","318,832 ","270,370 ","307,304 ","326,192 ","299,800 ","330,322 ","340,864 ","291,960 ","277,753 ","357,536 ","298,835 ","318,771 ","303,526 ","319,667 ","315,758 ",,09年,21年,"368,591 ","323,117 ","318,740 ","315,726 ","299,621 ","310,216 ","313,014 ","312,927 ","322,959 ","318,661 ","321,467 ","324,666 ","336,816 ","308,521 ","316,300 ","321,598 "
,10年,22年,"343,246 ","327,399 ","355,051 ","336,901 ","307,164 ","347,431 ","359,031 ","357,918 ","383,947 ","395,554 ","364,746 ","328,605 ","341,899 ","330,499 ","366,965 ","362,968 ","350,583 ","368,067 ",,10年,22年,"323,029 ","313,949 ","326,816 ","331,525 ","342,145 ","348,062 ","352,056 ","361,961 ","367,966 ","383,731 ","382,727 ","384,833 ","321,265 ","340,577 ","360,661 ","383,764 "
