有効求人数（パートタイム）【実数】,,,,,,,,,,,,,,,,,,,,,有効求人数（パートタイム）【季節調整値】,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
実　　　　　　　　　　　　　　　　　　　　　　　　　　　　　数,西暦,和暦,１月,２月,３月,４月,５月,６月,７月,８月,９月,10月,11月,12月,"1～3月
平均","4～6月
平均","7～9月
平均","10～12月
平均",年平均,年度平均,季　　　　　節　　　　　調　　　　　整　　　　　値,西暦,和暦,１月,２月,３月,４月,５月,６月,７月,８月,９月,10月,11月,12月,"1～3月
平均","4～6月
平均","7～9月
平均","10～12月
平均"
,04年,16年,"568,989 ","593,306 ","660,055 ","645,774 ","597,976 ","593,341 ","583,191 ","590,070 ","621,213 ","649,857 ","671,079 ","621,499 ","607,450 ","612,364 ","598,158 ","647,478 ","616,363 ","630,594 ",,04年,16年,"591,236 ","597,453 ","601,893 ","609,535 ","610,834 ","611,800 ","613,108 ","616,812 ","612,221 ","630,363 ","648,946 ","653,185 ","596,861 ","610,723 ","614,047 ","644,165 "
,05年,17年,"632,661 ","644,329 ","716,133 ","697,524 ","665,488 ","659,354 ","640,004 ","659,519 ","685,624 ","713,306 ","722,121 ","673,597 ","664,374 ","674,122 ","661,716 ","703,008 ","675,805 ","691,555 ",,05年,17年,"652,561 ","645,114 ","659,821 ","668,031 ","673,675 ","678,739 ","679,081 ","684,852 ","678,033 ","693,792 ","698,633 ","703,175 ","652,499 ","673,482 ","680,655 ","698,533 "
,06年,18年,"687,942 ","717,856 ","776,319 ","742,463 ","711,898 ","700,096 ","688,843 ","698,754 ","728,244 ","750,776 ","754,749 ","708,964 ","727,372 ","718,152 ","705,280 ","738,163 ","722,242 ","722,956 ",,06年,18年,"705,321 ","708,980 ","714,186 ","714,631 ","717,239 ","722,327 ","729,977 ","725,222 ","725,224 ","725,110 ","727,573 ","726,629 ","709,496 ","718,066 ","726,808 ","726,437 "
,07年,19年,"705,183 ","721,404 ","764,093 ","736,354 ","710,146 ","686,914 ","675,537 ","679,195 ","682,802 ","713,105 ","696,161 ","645,454 ","730,227 ","711,138 ","679,178 ","684,907 ","701,362 ","687,706 ",,07年,19年,"723,368 ","714,257 ","710,883 ","713,231 ","714,272 ","718,875 ","710,004 ","703,474 ","692,536 ","681,492 ","663,265 ","664,821 ","716,169 ","715,459 ","702,005 ","669,859 "
,08年,20年,"644,715 ","677,360 ","704,732 ","682,077 ","639,451 ","614,214 ","607,952 ","591,635 ","615,883 ","630,014 ","600,989 ","569,639 ","675,602 ","645,247 ","605,157 ","600,214 ","631,555 ","604,308 ",,08年,20年,"661,180 ","661,960 ","657,421 ","657,311 ","654,946 ","644,752 ","635,122 ","624,497 ","609,806 ","599,586 ","590,753 ","587,888 ","660,187 ","652,336 ","623,142 ","592,742 "
,09年,21年,"565,872 ","563,606 ","570,367 ","517,081 ","458,930 ","455,507 ","450,942 ","446,415 ","471,543 ","494,961 ","491,165 ","457,486 ","566,615 ","477,173 ","456,300 ","481,204 ","495,323 ","480,149 ",,09年,21年,"580,576 ","551,974 ","526,525 ","503,048 ","480,369 ","476,588 ","471,976 ","470,420 ","473,306 ","474,100 ","476,292 ","474,300 ","553,025 ","486,668 ","471,901 ","474,897 "
,10年,22年,"468,257 ","497,394 ","552,112 ","526,721 ","491,084 ","504,595 ","506,811 ","524,156 ","565,840 ","587,507 ","597,823 ","552,751 ","505,921 ","507,467 ","532,269 ","579,360 ","531,254 ","555,626 ",,10年,22年,"478,407 ","485,592 ","502,569 ","512,325 ","516,211 ","525,113 ","536,970 ","547,459 ","556,879 ","565,921 ","576,353 ","572,598 ","488,856 ","517,883 ","547,103 ","571,624 "
,11年,23年,"564,470 ","598,963 ","646,786 ","593,238 ","553,830 ","560,255 ","565,198 ","598,174 ","634,642 ","662,722 ","672,975 ","634,013 ","603,406 ","569,108 ","599,338 ","656,570 ","607,106 ","632,785 ",,11年,23年,"577,613 ","585,423 ","589,747 ","581,683 ","572,127 ","581,151 ","600,337 ","615,398 ","627,324 ","639,297 ","648,369 ","660,497 ","584,261 ","578,320 ","614,353 ","649,388 "
,12年,24年,"656,029 ","704,838 ","757,503 ","723,131 ","711,511 ","699,140 ","699,509 ","713,372 ","735,805 ","778,529 ","777,877 ","725,086 ","706,123 ","711,261 ","716,229 ","760,497 ","723,528 ","744,101 ",,12年,24年,"672,474 ","682,564 ","698,379 ","709,096 ","717,176 ","726,919 ","731,696 ","734,469 ","736,964 ","742,036 ","747,916 ","754,857 ","684,472 ","717,730 ","734,376 ","748,270 "
,13年,25年,"742,045 ","783,720 ","839,487 ","812,698 ","790,189 ","773,641 ","789,528 ","785,284 ","817,095 ","859,424 ","856,707 ","809,672 ","788,417 ","792,176 ","797,302 ","841,934 ","804,958 ","825,326 ",,13年,25年,"762,661 ","769,529 ","782,740 ","788,748 ","794,913 ","806,501 ","812,485 ","814,602 ","822,255 ","827,591 ","835,292 ","842,841 ","771,643 ","796,721 ","816,447 ","835,241 "
